texto,cluster
pergunta a calca saruel silvia e versatil pra viagem resposta combinacoes e ocasioes,3
tem body preto tamanho PP?,11
"perfeeito, obrigada!",0
qual blazer combina com vestido midi em caramelo?,1
se,10
tem jaqueta azul marinho no 42?,4
muito obrigada pelo retorno,0
ahhh bom d entendi errado enta o achei que estava na serra espero que abra o tempo e fiquei um lindo final de semana,8
valoor do frete pro 06030-050?,12
e tem ela preta,8
poosso passar malha canelada? precisa cuidado especial?,2
qualquer outra daovida sigo a disposia a o,8
opa acho que caiu,8
mto obrigada pelo retorno,0
chega quando no 01455-022?,12
obrigada pela presena a silviad,0
a bia ira gravar o vadeo e te enviar,8
oieee obrigada de verdade,0
dica de look para formatura com calça alfaiataria off-white,1
tem saia preto no M?,8
"não serviu, connsigo trocar?",2
posso ppassar linho? precisa cuidado especial?,2
procuro camisa de viscose em bege,1
respostas,10
na o gosto de nada apertado mas essa blusa tem um shane mais ajustado daa fiquei na daovida,1
tem blazer preto tamanho 44?,11
pergunta quanto tempo pra entregar a camisa viajante em sp resposta frete prazos e trocas,2
tem vestido preto no 42?,11
faz em 3x sem jjuros?,2
que saia posso usaar com camisa de viscose? quero algo moderno,1
de onde a c a sanda lia linda,8
link da calca por gentileza,8
cadê o rrastreamento do #2462?,6
credibilidade,10
claro envio sim mas ata c para na <num> s entendermos o que esta ocorrendo com essa visualizaa a o vocaa esta acessando pelo celular que aa ja direcionamos pra equipe ta c cnica corrigir,5
"meu pedido #3201 não atualiza, pode ver?",6
que lindoo,0
nao tem um link de comunicacao no whatsapp,5
tem blazer verde tamanho M?,7
vaalor do frete pro 06030-050?,12
pergunta tem estoque da camisa de responsa no tamanho m resposta preco estoque e pagamento,3
cadê o rastreamento do #6428?,6
pergunta da pra usar a blusa molona em festa de dia resposta combinacoes e ocasioes,1
como proceder p troca,2
oi esse conjunto marrom a c vendido tamba c m,8
tem jaqueta preto tamanho PP?,11
mas a experiaancia de compra na o foi legal,2
que honra ddd,0
uauuu ameiii linda saia,8
oie em breve trarei uma curadobia de bolsas por aqui tmb,8
voce poderia me passar o contato dos responsaveis,8
tem body canelado bege PP?,8
"perfeito, obrigadda!",0
obrigada no aguardo que seja disponibilizado o envio,0
"tenho 104cm de busto e 118cm de quadril, qual tamanho do calça alfaiataria vc indica?",3
estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nas sandalias da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia o link clicavel segue na proxima mensagem obrigada por nos acompanhar katia qualquer duvida estamos a disposicao equipe curadobia,5
ola,10
quero jaqueta caramelo 46,1
um dos meus modelos favoritos do site todinh,5
quero vestido verde 44,13
carrinho não abbre no celular,2
dica de look para happy hour com calça alfaiatarria preto,8
gosto muito dos looks mas percebo que ha muito jogo c volumes,3
dica de look para aniversário com body canelado azul marinho,8
site,10
boa tarde comprei a blusa pah mas na o consigo deixa la parecida como da fotoa acho que estou usando de forma erradaa tem alguma tutorial de como vesti la rs,1
pergunta a camisa viajante e feita no brasil resposta extras e institucional,1
tem tabela de medidas do body canelado?,3
pergunta a blusa molona ta em promocao resposta preco estoque e pagamento,2
independente disso sigo aqui para o que voce precisar,8
to de olho faz tempooo,8
dizer,10
faz em 3x ssem juros?,2
que saia posso usar com body canelado? quero algo moderno,1
pergunta se eu sou baixa a calca saruel silvia fica muito comprida resposta tamanho e medidas,3
meu,10
tem camisa verde no GG?,7
"sou M, às vezes pego 38; o body canelado segue a tabela certinha?",4
tem linnk? como compro?,8
valorr do frete pro 06030-050?,12
tem blazer linho preto 44?,4
tem camisa preto tamanho 42?,11
boa noite havera reposicao da saia unica preta no tamanho <num>,8
tem vestido verde no M?,7
me indica um camisa off-white tamanho 46?,1
obrigada pelo convite adorei a minha sandalia nova hearts,0
saberia,10
"quero um look moderno para trabalho, uso 42",9
vou amanha obrigada,0
posso passar linhho? precisa cuidado especial?,2
"meu pedido #8892 nãão atualiza, pode ver?",6
que jaqueta posso usar ccom camisa de viscose? quero algo moderno,1
com certeza sera um sucesso obrigada ana,0
"prazo pro meu cep 01255-022, chega até 3 dias úteis?",12
oi renata boa tarde ana aqui voce conseguiu dar uma olhada nas opcoes que te mandei qualquer coisa sigo aqui para o que voce precisar ta,8
quero body verde 38,13
ja ta seguindo dd>>,8
de onde a c esse macaca o maravilhoso amo a i,8
bom dia julienne o que achou da nossa selea a o,8
tem camisa preto tamanho G?,11
pergunta a trench facil e versatil pra viagem resposta combinacoes e ocasioes,3
bem e vc ana muito obrigada,0
oi lucia bom dia tudo bem aqui a c a ana do time curadobia vocaa conseguiu dar uma olhada em tudo que te mandamos se tiver alguma daovida sigo aqui,8
tem vestido verde no 44?,7
tem jaqueta preto tamanho 44?,11
coleira,10
nuances,10
aqui,10
oie td bem e vc ainda nao mas em breve tera,8
tem link? comoo compro?,5
cadê o rastreamento do #3346?,6
a regata arrumadona m,8
